# x rho u P T
1.6520650814e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6645807259e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6770963705e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.6896120150e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7021276596e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7146433041e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7271589487e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7396745932e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7521902378e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7647058824e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7772215269e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.7897371715e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8022528160e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8147684606e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8272841051e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8397997497e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8523153942e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8648310388e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8773466834e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.8898623279e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9023779725e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9148936170e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9274092616e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9399249061e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9524405507e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9649561952e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9774718398e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
1.9899874844e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0025031289e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0150187735e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0275344180e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0400500626e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0525657071e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0650813517e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0775969962e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.0901126408e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1026282854e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1151439299e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1276595745e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1401752190e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1526908636e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1652065081e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1777221527e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.1902377972e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2027534418e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2152690864e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2277847309e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2403003755e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2528160200e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2653316646e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2778473091e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.2903629537e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3028785982e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3153942428e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3279098874e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3404255319e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3529411765e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3654568210e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3779724656e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.3904881101e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4030037547e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4155193992e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4280350438e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4405506884e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4530663329e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4655819775e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4780976220e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.4906132666e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.5031289111e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.5156445557e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.5281602003e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
2.5406758448e-01 5.8687102456e+02 1.7512692387e+01 6.7663757322e+06 3.0017604457e+02
