# x rho u P T
2.8070175439e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.8320802005e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.8571428571e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.8822055138e-01 9.2647335427e+02 1.5599647142e+01 3.5266705202e+06 2.7338799980e+02
2.9072681704e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
2.9323308271e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
2.9573934837e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
2.9824561404e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.0075187970e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.0325814536e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.0576441103e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.0827067669e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.1077694236e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.1328320802e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.1578947368e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.1829573935e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.2080200501e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.2330827068e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.2581453634e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.2832080201e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.3082706767e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.3333333333e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.3583959900e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.3834586466e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.4085213033e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.4335839599e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.4586466165e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.4837092732e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.5087719298e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.5338345865e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.5588972431e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.5839598997e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.6090225564e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.6340852130e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.6591478697e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.6842105263e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.7092731830e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.7343358396e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.7593984962e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.7844611529e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.8095238095e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.8345864662e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.8596491228e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.8847117794e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.9097744361e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.9348370927e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.9598997494e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
3.9849624060e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.0100250627e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.0350877193e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.0601503759e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.0852130326e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.1102756892e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.1353383459e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.1604010025e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.1854636591e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.2105263158e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.2355889724e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.2606516291e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.2857142857e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.3107769424e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.3358395990e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.3609022556e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.3859649123e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.4110275689e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.4360902256e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.4611528822e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.4862155388e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.5112781955e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.5363408521e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.5614035088e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.5864661654e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.6115288221e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.6365914787e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.6616541353e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.6867167920e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.7117794486e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.7368421053e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.7619047619e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.7869674185e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.8120300752e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.8370927318e-01 8.9164214041e+02 1.6934505965e+01 3.4828006102e+06 2.7312550000e+02
4.8621553885e-01 7.9852901607e+02 2.1085524542e+01 3.3510800882e+06 2.7167650000e+02
4.8872180451e-01 6.6771058857e+02 2.8424345151e+01 3.1315475948e+06 2.6916550000e+02
4.9122807018e-01 5.6048749638e+02 3.6354309183e+01 2.9120794681e+06 2.6652250000e+02
4.9373433584e-01 4.8784210100e+02 4.3184814216e+01 2.7364007657e+06 2.6430050000e+02
4.9624060150e-01 4.3959746397e+02 4.8628393842e+01 2.6047061634e+06 2.6256350000e+02
4.9874686717e-01 3.9591009209e+02 5.4378420668e+01 2.4730456401e+06 2.6076250000e+02
5.0125313283e-01 3.5620080200e+02 6.0468292082e+01 2.3412868874e+06 2.5888850000e+02
5.0375939850e-01 3.1998329789e+02 6.6937410893e+01 2.2095815389e+06 2.5693650000e+02
5.0626566416e-01 2.9757479121e+02 7.1483404582e+01 2.1217223552e+06 2.5558750000e+02
5.0877192982e-01 2.7642999616e+02 7.6234461908e+01 2.0339590487e+06 2.5419692672e+02
5.1127819549e-01 2.5645413781e+02 8.1208728479e+01 1.9461724181e+06 2.5276150000e+02
5.1378446115e-01 2.3756185440e+02 8.6426884888e+01 1.8583393694e+06 2.5127850000e+02
5.1629072682e-01 2.1967634092e+02 9.1912592119e+01 1.7705232780e+06 2.4974250000e+02
5.1879699248e-01 2.0272836521e+02 9.7693087535e+01 1.6827556569e+06 2.4814950000e+02
5.2130325815e-01 1.9458566614e+02 1.0070365247e+02 1.6388683638e+06 2.4733050000e+02
5.2380952381e-01 1.7892653301e+02 1.0698762003e+02 1.5510710489e+06 2.4564250000e+02
5.2631578947e-01 1.7139638553e+02 1.1027109630e+02 1.5071442763e+06 2.4477150000e+02
5.2882205514e-01 1.6405726611e+02 1.1365635033e+02 1.4632106078e+06 2.4388250000e+02
5.3132832080e-01 1.4992752315e+02 1.2075786784e+02 1.3754226846e+06 2.4204250000e+02
5.3383458647e-01 1.4312579958e+02 1.2448838964e+02 1.3315320413e+06 2.4109050000e+02
5.3634085213e-01 1.3649176316e+02 1.2834968291e+02 1.2876149609e+06 2.4011450000e+02
5.3884711779e-01 1.3002118909e+02 1.3235064514e+02 1.2437350502e+06 2.3911450000e+02
5.4135338346e-01 1.2370842207e+02 1.3650164178e+02 1.1997867326e+06 2.3808750000e+02
5.4385964912e-01 1.1754941615e+02 1.4081375856e+02 1.1558873675e+06 2.3703250000e+02
5.4636591479e-01 1.1153942485e+02 1.4529969304e+02 1.1119896610e+06 2.3594750000e+02
